texto,movilidad,oido,vista
ruido ambiental me agobia,1,2,1
el ruido fuerte me daña,1,2,1
"tengo sordera profunda, por otro lado me duele el ojo",1,0,0
tengo tics motores,2,1,1
soy ciego parcialmente y hiperaudicion,1,2,0
dificultad severa para moverme,0,1,1
"no tengo problemas en los ojos, mi oido es normal",1,1,1
tengo hipersensibilidad auditiva y me fallan las piernas,0,2,1
todo ok con la vista,1,1,1
camino con baston pero no soporto el volumen alto ademas hipersensibilidad a la luz.,0,2,2
escucho los ruidos demasiado fuertes,1,2,1
tengo ceguera total y no puedo caminar,0,1,0
"inquietud motora extrema, por otro lado oigo muy mal pero hipersensibilidad a la luz.",2,0,2
no me puedo quedar quieto. pantallas muy brillantes me duelen,2,1,2
pantallas muy brillantes me duelen ademas necesidad de moverme siempre,2,1,2
sordo total pero llevo lentillas y veo bien ademas puedo andar sin problemas.,1,0,1
oigo muy mal y hipervision,1,0,2
llevo lentillas y veo bien aunque invalido y oigo bien.,0,1,1
sin problemas de movilidad pero hiperaudicion,1,2,1
"escucho todo muy apagado, tengo necesidad constante de moverme ademas mi vista es normal.",2,0,1
diagnosticado de tdah pero tengo ceguera total,2,1,0
"oigo genial, por otro lado no puedo mover las piernas",0,1,1
sin problemas de oido,1,1,1
audicion sin problemas y ando bien de las piernas,1,1,1
camino bien,1,1,1
"luz solar me ciega, tengo tics motores, escucho las conversaciones sin problema.",2,1,2
sin problemas de movilidad,1,1,1
"sordo total y me molesta mucho la luz, por otro lado puedo andar sin problemas.",1,0,2
uso lenguaje de senas. uso gafas para leer,1,0,1
audicion sin problemas,1,1,1
la luz me deslumbra demasiado,1,1,2
soy tuerto,1,1,0
diagnosticado de tdah,2,1,1
"no oigo ni papa pero camino perfectamente, por otro lado de la vista ando bien.",1,0,1
tengo muy poca vision aunque soy hiperactivo,2,1,0
"vista de aguila, mi movilidad es normal",1,1,2
escucho los ruidos demasiado fuertes,1,2,1
tengo tics motores,2,1,1
los brillos me hacen daño en los ojos tengo sordera profunda. me fallan las piernas.,0,0,2
tengo audicion normal veo bien,1,1,1
no soporto las luces brillantes,1,1,2
casi no tengo vista movilidad estandar,1,1,0
me molestan mucho los ruidos,1,2,1
"me molestan mucho los ruidos, por otro lado me cuesta mucho caminar y sin problemas de vista.",0,2,1
hipervision y orejas sensibles ademas movilidad estandar.,1,2,2
vista de aguila camino con baston aunque no soporto el volumen alto.,0,2,2
"escucho los ruidos demasiado fuertes y no tengo ojos, por otro lado soy paraplejico.",0,2,0
"tengo hipersensibilidad visual y hiperaudicion, ningun problema para caminar.",1,2,2
"sin sentido del oido, por otro lado soy tuerto tengo hiperactividad.",2,0,0
"dolor de ojos, sin sentido del oido",1,0,0
"tengo necesidad constante de moverme, me molesta mucho la luz. uso lenguaje de senas.",2,0,2
no tengo orejas,1,0,1
uso gafas para leer,1,1,1
sufro tdah,2,1,1
"no veo casi nada y escucho las conversaciones sin problema, por otro lado puedo andar sin problemas.",1,1,0
veo bien pero oido demasiado sensible,1,2,1
ando cojo. oigo muy mal. perdi el ojo.,0,0,0
sin problemas de vista,1,1,1
veo bien,1,1,1
"soy ciego parcialmente, el ruido fuerte me daña",1,2,0
tengo tdah escucho perfectamente,2,1,1
no tengo orejas pero soy paraplejico,0,0,1
vista de aguila pero soy sordo,1,0,2
no soporto las luces brillantes ademas escucho las conversaciones sin problema ademas estoy inmovilizado.,0,1,2
tengo audicion normal,1,1,1
ruido ambiental me agobia,1,2,1
no me funcionan los ojos,1,1,0
orejas sensibles ademas dificultad severa para moverme. todo ok con la vista.,0,2,1
estoy inmovilizado sin problemas de oido y soy tuerto.,0,1,0
diagnosticado de tdah pero escucho las conversaciones sin problema tengo ceguera total.,2,1,0
ando bien de las piernas y oigo muy mal aunque tengo vision normal.,1,0,1
no soporto las luces brillantes,1,1,2
"ciego de nacimiento, por otro lado el ruido fuerte me daña",1,2,0
sin sentido del oido aunque tengo tdah,2,0,1
movilidad estandar,1,1,1
tengo tdah,2,1,1
no me funcionan los ojos pero no soporto estar atrapado,2,1,0
no tengo piernas,0,1,1
"escucho todo muy apagado, camino bien, por otro lado hipersensibilidad a la luz.",1,0,2
oigo bien pero toy ciego y no soporto estar atrapado.,2,1,0
camino bien,1,1,1
"el ruido fuerte me daña, me duelen los ojos aunque tengo tdah.",2,2,0
veo lo estandar,1,1,1
no me funcionan los oidos. tengo vision normal,1,0,1
no me funcionan los oidos. vista de aguila,1,0,2
mi agudeza visual es correcta,1,1,1
sin sentido del oido y me muevo con normalidad aunque mi vista es normal.,1,0,1
tengo hipersensibilidad visual,1,1,2
tapon en el oido y ando bien de las piernas,1,0,1
sordo total,1,0,1
camino bien ademas oigo bien,1,1,1
dificultad severa para moverme veo bien,0,1,1
escucho todo muy apagado pero hipersensibilidad a la luz,1,0,2
invalido. vista de aguila aunque hiperaudicion.,0,2,2
ojos sensibles pero diagnosticado de tdah,2,1,2
sin problemas de vista,1,1,1
mi agudeza visual es correcta. ando cojo tengo audicion nula.,0,0,1
"vista de aguila, tengo tdah y hiperaudicion.",2,2,2
invalido tengo muy poca audicion,0,0,1
"sin problemas de oido ando en silla de ruedas, sin problemas de vista.",0,1,1
no tengo piernas pero hipervision. audicion sin problemas.,0,1,2
camino con baston me duele el ojo,0,1,0
no soporto el volumen alto aunque camino con baston y me duele el ojo.,0,2,0
uso lenguaje de senas,1,0,1
"mi agudeza visual es correcta, audicion sin problemas",1,1,1
camino con mueletas,0,1,1
tengo hipersensibilidad auditiva pero no puedo subir escaleras,0,2,1
mi movilidad es normal,1,1,1
tengo hiperactividad,2,1,1
camino bien,1,1,1
escucho las conversaciones sin problema. no soporto estar atrapado,2,1,1
me muevo compulsivamente. audicion sin problemas aunque vista de aguila.,2,1,2
no distingo formas ni colores,1,1,0
"me cuesta mucho caminar, por otro lado tengo hipersensibilidad visual pero mi oido es normal.",0,1,2
veo todo muy borroso,1,1,0
"camino perfectamente, luz solar me ciega. tapon en el oido.",1,0,2
"camino perfectamente, oigo genial aunque tengo dolor ocular.",1,1,0
tengo necesidad constante de moverme,2,1,1
oigo bien ademas ningun problema para caminar,1,1,1
camino muy lento,0,1,1
"no veo casi nada, por otro lado ando en silla de ruedas",0,1,0
luz solar me ciega los sonidos agudos me dan dolor de cabeza,1,2,2
hipervision,1,1,2
"movilidad estandar, por otro lado oido demasiado sensible, por otro lado soy ciego parcialmente.",1,2,0
pantallas muy brillantes me duelen. me muevo con normalidad,1,1,2
veo perfectamente pero camino con mueletas,0,1,1
tengo movilidad muy reducida ademas necesito ambiente oscuro,0,1,2
"camino con mueletas ademas vista de aguila, sin problemas de oido.",0,1,2
"he perdido la vista, sin problemas de movilidad pero tengo hipersensibilidad auditiva.",1,2,0
no distingo formas ni colores pero mi oido es normal tengo hiperactividad.,2,1,0
mi movilidad es normal ademas no oigo ni papa,1,0,1
sufro tdah y oigo bien,2,1,1
uso lenguaje de senas y no veo nada me muevo con normalidad.,1,0,0
veo lo estandar aunque me muevo compulsivamente,2,1,1
mi vista es normal y puedo andar sin problemas,1,1,1
ando cojo aunque tengo audicion normal,0,1,1
perdi el ojo y sufro tdah ademas tengo hiperacusia.,2,2,0
uso lenguaje de senas. uso gafas para leer,1,0,1
tengo hiperacusia pero diagnosticado de tdah,2,2,1
no puedo andar ademas escucho todo muy apagado,0,0,1
"tengo hiperacusia, uso gafas para leer camino bien.",1,2,1
tengo fotofobia,1,1,2
escucho perfectamente,1,1,1
"tengo tics motores, dolor de ojos, escucho las conversaciones sin problema.",2,1,0
tengo dolor ocular,1,1,0
"sin problemas de movilidad, no distingo formas ni colores",1,1,0
puedo andar sin problemas pero soy ciego parcialmente,1,1,0
"tengo tics motores, ruido ambiental me agobia",2,2,1
vista de aguila. no oigo nada,1,0,2
sin problemas de movilidad,1,1,1
uso gafas para leer y ando con muletas y tengo muy poca audicion.,0,0,1
sin problemas de oido y veo lo estandar,1,1,1
uso baston para ciegos aunque invalido,0,1,0
no soporto estar atrapado,2,1,1
todo ok con la vista,1,1,1
me duelen los ojos aunque tengo sordera profunda,1,0,0
me molestan mucho los ruidos,1,2,1
me muevo con normalidad audicion sin problemas,1,1,1
"me muevo con normalidad, dolor de ojos, tengo audicion normal.",1,1,0
tengo hiperacusia,1,2,1
ojos sensibles audicion sin problemas ademas no puedo mover las piernas.,0,1,2
camino muy lento,0,1,1
el ruido fuerte me daña pero hipermovilidad y veo bien.,2,2,1
oigo bien ademas tengo ceguera total,1,1,0
casi no tengo vista,1,1,0
no tengo piernas,0,1,1
"oido demasiado sensible tengo movilidad muy reducida, por otro lado tengo fotofobia.",0,2,2
ando bien de las piernas ademas sin problemas de oido,1,1,1
tengo tdah. tengo sordera profunda,2,0,1
soy tuerto,1,1,0
tengo vision normal,1,1,1
dolor de ojos. tengo sordera profunda,1,0,0
camino con mueletas,0,1,1
"tengo hipersensibilidad visual, hipermovilidad",2,1,2
inquietud motora extrema,2,1,1
no tengo orejas perdi el ojo pero ningun problema para caminar.,1,0,0
"audicion sin problemas, mi agudeza visual es correcta",1,1,1
veo lo estandar aunque audicion sin problemas. tengo necesidad constante de moverme.,2,1,1
tengo sordera profunda,1,0,1
sin problemas de vista,1,1,1
no puedo andar aunque tapon en el oido ademas uso gafas para leer.,0,0,1
no veo en absoluto,1,1,0
tengo ceguera total,1,1,0
toy ciego sensible a pitidos,1,2,0
"mi vista es normal, por otro lado tengo necesidad constante de moverme",2,1,1
"no me funcionan los oidos, camino perfectamente",1,0,1
"el ruido fuerte me daña, ningun problema para caminar aunque uso baston para ciegos.",1,2,0
"no tengo piernas, por otro lado llevo lentillas y veo bien",0,1,1
no me puedo quedar quieto. orejas sensibles,2,2,1
escucho las conversaciones sin problema y no puedo andar,0,1,1
hipermovilidad,2,1,1
veo todo muy borroso ademas los sonidos agudos me dan dolor de cabeza,1,2,0
"camino con mueletas no veo en absoluto, por otro lado orejas sensibles.",0,2,0
todo ok con la vista y el ruido fuerte me daña pero tengo tdah.,2,2,1
no escucho nada,1,0,1
llevo lentillas y veo bien y ningun problema para caminar,1,1,1
no me funcionan los oidos,1,0,1
"dificultad severa para moverme, por otro lado los sonidos agudos me dan dolor de cabeza",0,2,1
no puedo andar,0,1,1
sufro tdah,2,1,1
ruido ambiental me agobia,1,2,1
veo muy mal pero no oigo ni papa aunque movilidad estandar.,1,0,0
me duele el ojo,1,1,0
tengo dolor ocular,1,1,0
no tengo orejas ademas los brillos me hacen daño en los ojos,1,0,2
casi no tengo vista,1,1,0
"escucho las conversaciones sin problema, por otro lado no veo nada",1,1,0
mi oido es normal aunque mi vista es normal,1,1,1
"tengo vision normal, por otro lado de oido ando perfecto pero necesito espacio amplio.",2,1,1
necesito espacio amplio,2,1,1
necesito espacio amplio,2,1,1
no puedo mover las piernas aunque me duele el ojo,0,1,0
de la vista ando bien aunque movilidad estandar,1,1,1
"mi oido es normal pero no puedo caminar, por otro lado veo perfectamente.",0,1,1
sin problemas de oido pero veo bien,1,1,1
escucho cero. soy paraplejico,0,0,1
hipersensibilidad a la luz aunque audicion sin problemas pero necesidad de moverme siempre.,2,1,2
todo ok con la vista,1,1,1
mi vista es normal ningun problema para caminar. escucho los ruidos demasiado fuertes.,1,2,1
escucho los ruidos demasiado fuertes y sin problemas de vista,1,2,1
estoy postrado,0,1,1
"no veo casi nada, por otro lado sufro tdah, por otro lado escucho todo muy apagado.",2,0,0
"vista de aguila, no puedo mover las piernas, por otro lado sordo total.",0,0,2
los brillos me hacen daño en los ojos sin problemas de oido ademas necesito espacio amplio.,2,1,2
el ruido fuerte me daña,1,2,1
"me molesta mucho la luz aunque ruido ambiental me agobia, no puedo andar.",0,2,2
sin problemas de oido necesito ambiente oscuro invalido.,0,1,2
"veo perfectamente, no oigo nada, soy paraplejico.",0,0,1
camino muy lento aunque veo destellos constantemente aunque no tengo orejas.,0,0,2
escucho perfectamente. no me funcionan los ojos,1,1,0
sin problemas de movilidad,1,1,1
"no puedo andar y tengo ceguera total, tengo audicion normal.",0,1,0
tengo fotofobia,1,1,2
no me puedo quedar quieto aunque sin problemas de oido,2,1,1
"mi oido es normal aunque necesito espacio amplio, por otro lado uso gafas para leer.",2,1,1
inquietud motora extrema,2,1,1
veo bien,1,1,1
sin sentido del oido. necesidad de moverme siempre aunque perdi el ojo.,2,0,0
diagnosticado de tdah pero tengo audicion nula aunque casi no tengo vista.,2,0,0
hipersensibilidad a la luz no escucho nada,1,0,2
"camino perfectamente, por otro lado de la vista ando bien",1,1,1
inquietud motora extrema,2,1,1
escucho perfectamente,1,1,1
invalido,0,1,1
el ruido fuerte me daña,1,2,1
tengo tics motores pero sin problemas de vista y oigo bien.,2,1,1
me duelen los ojos,1,1,0
veo todo muy borroso,1,1,0
sin problemas de oido llevo lentillas y veo bien pero camino bien.,1,1,1
"el ruido fuerte me daña, por otro lado ningun problema para caminar",1,2,1
"no tengo problemas en los ojos, me muevo con normalidad",1,1,1
tengo vision normal. diagnosticado de tdah,2,1,1
"tengo muy poca vision sufro tdah, por otro lado audicion sin problemas.",2,1,0
dolor de ojos,1,1,0
tengo sordera profunda ademas llevo lentillas y veo bien,1,0,1
no escucho nada aunque de la vista ando bien,1,0,1
no me funcionan los ojos y no soporto el volumen alto,1,2,0
"sordo total. mi agudeza visual es correcta, me muevo con normalidad.",1,0,1
inquietud motora extrema,2,1,1
oido demasiado sensible. no veo nada ademas necesidad de moverme siempre.,2,2,0
oigo bien,1,1,1
movilidad estandar aunque tengo audicion normal,1,1,1
"necesidad de moverme siempre, por otro lado llevo lentillas y veo bien aunque tapon en el oido.",2,0,1
oigo muy mal los brillos me hacen daño en los ojos sin problemas de movilidad.,1,0,2
soy hiperactivo pero tengo muy poca vision escucho todo muy apagado.,2,0,0
hipervision y no soporto estar atrapado,2,1,2
tengo necesidad constante de moverme,2,1,1
ando en silla de ruedas pero hipervision,0,1,2
de la vista ando bien aunque hipermovilidad,2,1,1
de oido ando perfecto y diagnosticado de tdah,2,1,1
me muevo con normalidad,1,1,1
"sordo total, por otro lado he perdido la vista",1,0,0
mi vista es normal,1,1,1
tengo muy poca audicion,1,0,1
hipermovilidad,2,1,1
no soporto las luces brillantes,1,1,2
todo ok con la vista sin problemas de movilidad ademas sordo total.,1,0,1
"me duele el ojo, hiperaudicion",1,2,0
"estoy inmovilizado ademas sin problemas de oido, los brillos me hacen daño en los ojos.",0,1,2
sordo total no veo en absoluto aunque hipermovilidad.,2,0,0
tengo audicion nula pero me muevo con normalidad,1,0,1
llevo lentillas y veo bien aunque puedo andar sin problemas,1,1,1
necesito ambiente oscuro y no me puedo quedar quieto,2,1,2
"ciego de nacimiento, por otro lado movilidad estandar",1,1,0
tengo hiperacusia pero no tengo problemas en los ojos,1,2,1
me molestan mucho los ruidos,1,2,1
la luz me deslumbra demasiado,1,1,2
inquietud motora extrema aunque soy ciego parcialmente,2,1,0
tengo muy poca vision y camino perfectamente aunque tengo hipersensibilidad auditiva.,1,2,0
no soporto estar atrapado y tengo hipersensibilidad visual,2,1,2
"escucho los ruidos demasiado fuertes, por otro lado necesito ambiente oscuro aunque ando bien de las piernas.",1,2,2
"inquietud motora extrema, por otro lado tengo muy poca vision pero sordo total.",2,0,0
tengo dolor ocular ademas ruido ambiental me agobia,1,2,0
oigo bien ademas estoy postrado,0,1,1
ando bien de las piernas pero veo perfectamente,1,1,1
"llevo lentillas y veo bien, dificultad severa para moverme ademas no oigo nada.",0,0,1
no tengo problemas en los ojos y tengo hiperacusia,1,2,1
sin sentido del oido. pantallas muy brillantes me duelen pero sufro tdah.,2,0,2
soy sordo,1,0,1
ando cojo,0,1,1
camino bien uso lenguaje de senas,1,0,1
"veo lo estandar, escucho las conversaciones sin problema pero no puedo andar.",0,1,1
me duelen los ojos,1,1,0
uso gafas para leer. tapon en el oido pero sufro tdah.,2,0,1
"camino con baston, por otro lado sin problemas de oido",0,1,1
uso gafas para leer pero escucho los ruidos demasiado fuertes,1,2,1
escucho perfectamente pero mi vista es normal,1,1,1
no tengo piernas y uso lenguaje de senas,0,0,1
"camino muy lento. soy sordo, me duele el ojo.",0,0,0
"sin problemas de vista, ruido ambiental me agobia pero hipermovilidad.",2,2,1
no veo en absoluto pero tengo sordera profunda,1,0,0
uso gafas para leer pero tapon en el oido y hipermovilidad.,2,0,1
"soy paralitico, por otro lado tengo vision nula",0,1,0
tengo audicion nula,1,0,1
escucho las conversaciones sin problema dificultad severa para moverme hipersensibilidad a la luz.,0,1,2
escucho las conversaciones sin problema,1,1,1
"veo muy mal, sensible a pitidos pero camino perfectamente.",1,2,0
me muevo compulsivamente no soporto el volumen alto,2,2,1
invalido ademas veo bien escucho todo muy apagado.,0,0,1
mi oido es normal y veo todo muy borroso pero me muevo con normalidad.,1,1,0
veo destellos constantemente,1,1,2
orejas sensibles tengo tics motores tengo hipersensibilidad visual.,2,2,2
los brillos me hacen daño en los ojos,1,1,2
veo lo estandar pero tengo muy poca audicion,1,0,1
tengo hipersensibilidad visual ademas camino bien aunque escucho todo muy apagado.,1,0,2
"sin problemas de oido, diagnosticado de tdah",2,1,1
pantallas muy brillantes me duelen ademas necesito espacio amplio,2,1,2
tengo vision nula,1,1,0
camino con baston y escucho las conversaciones sin problema,0,1,1
tengo vision nula,1,1,0
no soporto el volumen alto,1,2,1
mi oido es normal,1,1,1
necesito espacio amplio uso baston para ciegos pero tengo hiperacusia.,2,2,0
camino con mueletas,0,1,1
"no tengo orejas, por otro lado los brillos me hacen daño en los ojos aunque camino bien.",1,0,2
sin problemas de movilidad y tengo dolor ocular,1,1,0
"escucho todo muy apagado, por otro lado estoy postrado",0,0,1
sensible a pitidos me cuesta mucho caminar y he perdido la vista.,0,2,0
toy sordo,1,0,1
"tengo ceguera total ademas sin problemas de oido, por otro lado necesito espacio amplio.",2,1,0
"no veo casi nada ademas necesidad de moverme siempre, por otro lado no oigo ni papa.",2,0,0
hiperaudicion no tengo piernas. soy tuerto.,0,2,0
"no soporto las luces brillantes y no tengo piernas, tapon en el oido.",0,0,2
mi movilidad es normal ademas no veo casi nada,1,1,0
sensible a pitidos. sin problemas de movilidad y vista de aguila.,1,2,2
"tengo audicion nula aunque camino perfectamente, uso gafas para leer.",1,0,1
soy hiperactivo,2,1,1
"tengo necesidad constante de moverme, uso lenguaje de senas",2,0,1
uso gafas para leer ademas mi movilidad es normal aunque no oigo nada.,1,0,1
diagnosticado de tdah,2,1,1
"de la vista ando bien, necesidad de moverme siempre. orejas sensibles.",2,2,1
no soporto el volumen alto aunque casi no tengo vista,1,2,0
camino muy lento,0,1,1
invalido. tengo ceguera total ademas sensible a pitidos.,0,2,0
no veo casi nada,1,1,0
vista de aguila,1,1,2
"vista de aguila ademas audicion sin problemas, por otro lado no tengo piernas.",0,1,2
"no tengo problemas en los ojos aunque tengo tics motores, tengo audicion normal.",2,1,1
no oigo nada. pantallas muy brillantes me duelen,1,0,2
de la vista ando bien,1,1,1
inquietud motora extrema,2,1,1
"soy hiperactivo, por otro lado todo ok con la vista",2,1,1
escucho perfectamente ademas ningun problema para caminar,1,1,1
veo todo muy borroso,1,1,0
movilidad estandar. me duelen los ojos,1,1,0
"uso lenguaje de senas y no veo nada, necesidad de moverme siempre.",2,0,0
voy en silla y oigo bien uso gafas para leer.,0,1,1
"todo ok con la vista ando bien de las piernas, los sonidos agudos me dan dolor de cabeza.",1,2,1
soy paraplejico. escucho cero,0,0,1
no soporto las luces brillantes,1,1,2
sufro tdah,2,1,1
no puedo subir escaleras y orejas sensibles,0,2,1
tengo hiperacusia,1,2,1
de la vista ando bien. ando bien de las piernas,1,1,1
de la vista ando bien ruido ambiental me agobia ningun problema para caminar.,1,2,1
no me puedo quedar quieto de oido ando perfecto aunque veo destellos constantemente.,2,1,2
escucho cero,1,0,1
sin problemas de movilidad aunque tengo audicion nula y tengo dolor ocular.,1,0,0
hipersensibilidad a la luz,1,1,2
ando en silla de ruedas,0,1,1
"de la vista ando bien, por otro lado camino muy lento, por otro lado oigo bien.",0,1,1
tengo tdah aunque vista de aguila. toy sordo.,2,0,2
movilidad estandar aunque audicion sin problemas,1,1,1
tengo hiperacusia. movilidad estandar aunque tengo hipersensibilidad visual.,1,2,2
no me puedo quedar quieto,2,1,1
soy sordo,1,0,1
tengo sordera profunda,1,0,1
me muevo con normalidad aunque de oido ando perfecto,1,1,1
no veo nada,1,1,0
movilidad estandar,1,1,1
no me puedo quedar quieto. no soporto las luces brillantes y escucho las conversaciones sin problema.,2,1,2
no puedo andar no escucho nada,0,0,1
"tengo hipersensibilidad auditiva, tengo fotofobia. sufro tdah.",2,2,2
ando bien de las piernas y escucho cero y no veo casi nada.,1,0,0
tengo fotofobia,1,1,2
ningun problema para caminar,1,1,1
sufro tdah pero no distingo formas ni colores,2,1,0
"todo ok con la vista, por otro lado movilidad estandar",1,1,1
escucho perfectamente aunque me muevo con normalidad aunque veo perfectamente.,1,1,1
"sin problemas de oido aunque mi movilidad es normal, la luz me deslumbra demasiado.",1,1,2
movilidad estandar,1,1,1
necesito espacio amplio,2,1,1
"puedo andar sin problemas ademas no tengo orejas, sin problemas de vista.",1,0,1
diagnosticado de tdah pero tengo sordera profunda ademas casi no tengo vista.,2,0,0
camino bien aunque hiperaudicion ademas uso gafas para leer.,1,2,1
oigo genial pero no tengo problemas en los ojos,1,1,1
camino bien aunque sin problemas de oido aunque no me funcionan los ojos.,1,1,0
estoy postrado y perdi el ojo,0,1,0
me molesta mucho la luz,1,1,2
escucho las conversaciones sin problema,1,1,1
de la vista ando bien,1,1,1
los brillos me hacen daño en los ojos ademas tengo audicion nula,1,0,2
"no soporto el volumen alto, por otro lado sin problemas de movilidad, por otro lado mi agudeza visual es correcta.",1,2,1
escucho los ruidos demasiado fuertes. no puedo mover las piernas y vista de aguila.,0,2,2
me duele el ojo,1,1,0
"de la vista ando bien, por otro lado de oido ando perfecto aunque tengo tics motores.",2,1,1
tengo ceguera total,1,1,0
"oigo bien, los brillos me hacen daño en los ojos",1,1,2
"no me puedo quedar quieto, por otro lado ojos sensibles ademas ruido ambiental me agobia.",2,2,2
"sin problemas de vista, por otro lado orejas sensibles ademas mi movilidad es normal.",1,2,1
los brillos me hacen daño en los ojos. tengo hiperacusia,1,2,2
oigo muy mal. me molesta mucho la luz,1,0,2
no me puedo quedar quieto. casi no tengo vista,2,1,0
tengo tdah escucho las conversaciones sin problema,2,1,1
"no oigo ni papa, por otro lado me muevo con normalidad",1,0,1
"no tengo piernas y hipersensibilidad a la luz, ruido ambiental me agobia.",0,2,2
"tengo tdah, por otro lado tengo muy poca vision y oido demasiado sensible.",2,2,0
puedo andar sin problemas pero no oigo ni papa,1,0,1
"tengo audicion nula, dolor de ojos pero camino perfectamente.",1,0,0
mi oido es normal y ningun problema para caminar aunque sin problemas de vista.,1,1,1
"ningun problema para caminar, perdi el ojo y no escucho nada.",1,0,0
ningun problema para caminar ademas no soporto las luces brillantes,1,1,2
"escucho los ruidos demasiado fuertes, no veo nada ademas tengo hiperactividad.",2,2,0
casi no tengo vista,1,1,0
tengo dolor ocular,1,1,0
no tengo problemas en los ojos pero movilidad estandar,1,1,1
"audicion sin problemas, por otro lado tengo hiperactividad",2,1,1
diagnosticado de tdah,2,1,1
de la vista ando bien ademas no oigo ni papa ando en silla de ruedas.,0,0,1
"soy hiperactivo. los sonidos agudos me dan dolor de cabeza, perdi el ojo.",2,2,0
la luz me deslumbra demasiado aunque escucho las conversaciones sin problema,1,1,2
mi agudeza visual es correcta,1,1,1
audicion sin problemas,1,1,1
movilidad estandar y veo perfectamente,1,1,1
no me puedo quedar quieto,2,1,1
ningun problema para caminar,1,1,1
"audicion sin problemas. uso baston para ciegos, por otro lado ningun problema para caminar.",1,1,0
inquietud motora extrema,2,1,1
camino con baston,0,1,1
de oido ando perfecto aunque mi movilidad es normal. sin problemas de vista.,1,1,1
necesito ambiente oscuro. audicion sin problemas,1,1,2
no soporto las luces brillantes,1,1,2
mi oido es normal camino muy lento,0,1,1
"uso gafas para leer, por otro lado camino con baston ademas escucho los ruidos demasiado fuertes.",0,2,1
ando con muletas aunque tapon en el oido,0,0,1
vista de aguila. audicion sin problemas camino con baston.,0,1,2
"tengo fotofobia, por otro lado sufro tdah",2,1,2
no escucho nada ademas no tengo piernas,0,0,1
"audicion sin problemas, por otro lado me fallan las piernas",0,1,1
de oido ando perfecto pero me duelen los ojos,1,1,0
"luz solar me ciega, puedo andar sin problemas ademas oigo bien.",1,1,2
diagnosticado de tdah. escucho los ruidos demasiado fuertes aunque tengo dolor ocular.,2,2,0
puedo andar sin problemas,1,1,1
oigo bien,1,1,1
tengo vision nula y soy sordo,1,0,0
"toy sordo, camino bien pero tengo vision normal.",1,0,1
escucho perfectamente,1,1,1
tengo audicion normal,1,1,1
necesito ambiente oscuro movilidad estandar,1,1,2
tengo tics motores. tengo audicion normal,2,1,1
tengo necesidad constante de moverme pero los sonidos agudos me dan dolor de cabeza,2,2,1
tengo tics motores,2,1,1
camino con mueletas,0,1,1
no oigo nada pero tengo necesidad constante de moverme sin problemas de vista.,2,0,1
los sonidos agudos me dan dolor de cabeza,1,2,1
dolor de ojos,1,1,0
"no tengo problemas en los ojos pero sufro tdah, por otro lado los sonidos agudos me dan dolor de cabeza.",2,2,1
tapon en el oido. mi movilidad es normal aunque todo ok con la vista.,1,0,1
me cuesta mucho caminar,0,1,1
"no soporto el volumen alto, por otro lado tengo tics motores",2,2,1
llevo lentillas y veo bien diagnosticado de tdah y tengo audicion normal.,2,1,1
no distingo formas ni colores ademas soy hiperactivo,2,1,0
"necesito ambiente oscuro y necesito espacio amplio, no soporto el volumen alto.",2,2,2
escucho las conversaciones sin problema aunque sin problemas de movilidad. mi agudeza visual es correcta.,1,1,1
veo lo estandar ademas oigo bien,1,1,1
tapon en el oido y tengo vision normal,1,0,1
movilidad estandar,1,1,1
"tengo hiperacusia ademas de la vista ando bien, no puedo caminar.",0,2,1
"camino perfectamente ademas tengo fotofobia, por otro lado escucho perfectamente.",1,1,2
estoy inmovilizado,0,1,1
estoy postrado,0,1,1
escucho todo muy apagado,1,0,1
no veo casi nada,1,1,0
"tengo audicion normal, he perdido la vista, por otro lado camino bien.",1,1,0
escucho cero,1,0,1
tengo vision normal,1,1,1
oido demasiado sensible aunque camino perfectamente,1,2,1
me cuesta mucho caminar,0,1,1
"de la vista ando bien ademas el ruido fuerte me daña, por otro lado soy hiperactivo.",2,2,1
no soporto estar atrapado ademas de oido ando perfecto,2,1,1
camino perfectamente. soy sordo veo muy mal.,1,0,0
uso baston para ciegos,1,1,0
camino perfectamente aunque tengo hipersensibilidad auditiva,1,2,1
no puedo caminar,0,1,1
tengo tics motores,2,1,1
"camino bien, por otro lado vista de aguila, uso lenguaje de senas.",1,0,2
hipersensibilidad a la luz pero ningun problema para caminar,1,1,2
tapon en el oido,1,0,1
soy paraplejico ademas mi agudeza visual es correcta,0,1,1
tengo vision normal,1,1,1
tengo vision normal,1,1,1
me molestan mucho los ruidos pero ningun problema para caminar y tengo muy poca vision.,1,2,0
ando cojo aunque mi vista es normal,0,1,1
no soporto estar atrapado sin sentido del oido. soy tuerto.,2,0,0
los brillos me hacen daño en los ojos,1,1,2
sin problemas de oido,1,1,1
mi agudeza visual es correcta pero me molestan mucho los ruidos pero tengo necesidad constante de moverme.,2,2,1
tengo vision nula,1,1,0
mi agudeza visual es correcta,1,1,1
no puedo mover las piernas,0,1,1
perdi el ojo,1,1,0
me molesta mucho la luz. escucho perfectamente,1,1,2
"no puedo caminar, no veo nada tengo audicion normal.",0,1,0
sin problemas de movilidad tengo hipersensibilidad auditiva y dolor de ojos.,1,2,0
"me duele el ojo, por otro lado ando bien de las piernas pero audicion sin problemas.",1,1,0
veo perfectamente. sordo total sufro tdah.,2,0,1
